method,method_group,fold_idx,marker_column,selected_hyperparams_json
single_high_gamma,single_marker,2,record_mean__top20pct_mean__log_bp_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma"", ""orientation"": 1}"
single_line_length,single_marker,2,record_mean__top20pct_mean__line_length_per_sec,"{""marker_column"": ""record_mean__top20pct_mean__line_length_per_sec"", ""orientation"": 1}"
single_hfo_event_rate,single_marker,2,record_mean__top20pct_mean__hfo80_150_event_rate,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_event_rate"", ""orientation"": 1}"
single_hfo_duration_fraction,single_marker,2,record_mean__top20pct_mean__hfo80_150_duration_fraction,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
single_onset_latency_high_gamma,single_marker,2,record_mean__top20pct_mean__onset_latency_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_high_gamma"", ""orientation"": -1}"
single_onset_latency_line_length,single_marker,2,record_mean__top20pct_mean__onset_latency_line_length,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_line_length"", ""orientation"": -1}"
average_ictal_evidence_score,single_marker,2,"record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction","{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
logistic_l2,classical_ml,2,,"{""C"": 10.0}"
logistic_elasticnet,classical_ml,2,,"{""C"": 0.01, ""l1_ratio"": 0.5}"
linear_svm,classical_ml,2,,"{""C"": 10.0}"
rbf_svm,classical_ml,2,,"{""C"": 1.0, ""gamma"": ""scale""}"
random_forest,classical_ml,2,,"{""max_depth"": null, ""min_samples_leaf"": 5}"
extra_trees,classical_ml,2,,"{""max_features"": null}"
hist_gradient_boosting,classical_ml,2,,"{""learning_rate"": 0.05, ""max_iter"": 100}"
xgboost_optional,classical_ml,2,,"{""learning_rate"": 0.03, ""max_depth"": 3}"
single_high_gamma,single_marker,3,record_mean__top20pct_mean__log_bp_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma"", ""orientation"": 1}"
single_line_length,single_marker,3,record_mean__top20pct_mean__line_length_per_sec,"{""marker_column"": ""record_mean__top20pct_mean__line_length_per_sec"", ""orientation"": 1}"
single_hfo_event_rate,single_marker,3,record_mean__top20pct_mean__hfo80_150_event_rate,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_event_rate"", ""orientation"": 1}"
single_hfo_duration_fraction,single_marker,3,record_mean__top20pct_mean__hfo80_150_duration_fraction,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
single_onset_latency_high_gamma,single_marker,3,record_mean__top20pct_mean__onset_latency_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_high_gamma"", ""orientation"": -1}"
single_onset_latency_line_length,single_marker,3,record_mean__top20pct_mean__onset_latency_line_length,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_line_length"", ""orientation"": -1}"
average_ictal_evidence_score,single_marker,3,"record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction","{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
logistic_l2,classical_ml,3,,"{""C"": 0.01}"
logistic_elasticnet,classical_ml,3,,"{""C"": 0.01, ""l1_ratio"": 0.1}"
linear_svm,classical_ml,3,,"{""C"": 0.01}"
rbf_svm,classical_ml,3,,"{""C"": 10.0, ""gamma"": ""scale""}"
random_forest,classical_ml,3,,"{""max_depth"": null, ""min_samples_leaf"": 3}"
extra_trees,classical_ml,3,,"{""max_features"": null}"
hist_gradient_boosting,classical_ml,3,,"{""learning_rate"": 0.1, ""max_iter"": 100}"
xgboost_optional,classical_ml,3,,"{""learning_rate"": 0.03, ""max_depth"": 2}"
single_high_gamma,single_marker,4,record_mean__top20pct_mean__log_bp_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma"", ""orientation"": 1}"
single_line_length,single_marker,4,record_mean__top20pct_mean__line_length_per_sec,"{""marker_column"": ""record_mean__top20pct_mean__line_length_per_sec"", ""orientation"": 1}"
single_hfo_event_rate,single_marker,4,record_mean__top20pct_mean__hfo80_150_event_rate,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_event_rate"", ""orientation"": 1}"
single_hfo_duration_fraction,single_marker,4,record_mean__top20pct_mean__hfo80_150_duration_fraction,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
single_onset_latency_high_gamma,single_marker,4,record_mean__top20pct_mean__onset_latency_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_high_gamma"", ""orientation"": -1}"
single_onset_latency_line_length,single_marker,4,record_mean__top20pct_mean__onset_latency_line_length,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_line_length"", ""orientation"": -1}"
average_ictal_evidence_score,single_marker,4,"record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction","{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
logistic_l2,classical_ml,4,,"{""C"": 0.01}"
logistic_elasticnet,classical_ml,4,,"{""C"": 0.01, ""l1_ratio"": 0.9}"
linear_svm,classical_ml,4,,"{""C"": 10.0}"
rbf_svm,classical_ml,4,,"{""C"": 0.1, ""gamma"": ""scale""}"
random_forest,classical_ml,4,,"{""max_depth"": 8, ""min_samples_leaf"": 3}"
extra_trees,classical_ml,4,,"{""max_features"": ""sqrt""}"
hist_gradient_boosting,classical_ml,4,,"{""learning_rate"": 0.05, ""max_iter"": 200}"
xgboost_optional,classical_ml,4,,"{""learning_rate"": 0.03, ""max_depth"": 2}"
single_high_gamma,single_marker,5,record_mean__top20pct_mean__log_bp_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma"", ""orientation"": 1}"
single_line_length,single_marker,5,record_mean__top20pct_mean__line_length_per_sec,"{""marker_column"": ""record_mean__top20pct_mean__line_length_per_sec"", ""orientation"": 1}"
single_hfo_event_rate,single_marker,5,record_mean__top20pct_mean__hfo80_150_event_rate,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_event_rate"", ""orientation"": 1}"
single_hfo_duration_fraction,single_marker,5,record_mean__top20pct_mean__hfo80_150_duration_fraction,"{""marker_column"": ""record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
single_onset_latency_high_gamma,single_marker,5,record_mean__top20pct_mean__onset_latency_high_gamma,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_high_gamma"", ""orientation"": -1}"
single_onset_latency_line_length,single_marker,5,record_mean__top20pct_mean__onset_latency_line_length,"{""marker_column"": ""record_mean__top20pct_mean__onset_latency_line_length"", ""orientation"": -1}"
average_ictal_evidence_score,single_marker,5,"record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction","{""marker_column"": ""record_mean__top20pct_mean__log_bp_high_gamma,record_mean__top20pct_mean__line_length_per_sec,record_mean__top20pct_mean__hfo80_150_event_rate,record_mean__top20pct_mean__hfo80_150_duration_fraction"", ""orientation"": 1}"
logistic_l2,classical_ml,5,,"{""C"": 0.1}"
logistic_elasticnet,classical_ml,5,,"{""C"": 0.01, ""l1_ratio"": 0.1}"
linear_svm,classical_ml,5,,"{""C"": 0.01}"
rbf_svm,classical_ml,5,,"{""C"": 0.1, ""gamma"": ""scale""}"
random_forest,classical_ml,5,,"{""max_depth"": 8, ""min_samples_leaf"": 5}"
extra_trees,classical_ml,5,,"{""max_features"": ""sqrt""}"
hist_gradient_boosting,classical_ml,5,,"{""learning_rate"": 0.1, ""max_iter"": 100}"
xgboost_optional,classical_ml,5,,"{""learning_rate"": 0.03, ""max_depth"": 2}"
