metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.6549999999999998,0.3333333333333333,1.0,100,0
balanced_accuracy,0.6533333333333333,0.5,1.0,100,0
macro_f1,0.5552781385281385,0.25,1.0,100,0
weighted_f1,0.5945111832611832,0.16666666666666666,1.0,100,0
auroc,0.6296666666666667,0.0,1.0,100,0
success_auprc,0.8113333333333334,0.16666666666666666,1.0,100,0
failure_auprc,0.7015722222222223,0.32895833333333335,1.0,100,0
success_precision,0.6,0.0,1.0,100,0
success_recall,0.30666666666666664,0.0,1.0,100,0
failure_precision,0.591,0.22375,1.0,100,0
failure_recall,1.0,1.0,1.0,100,0
brier,0.2751459203932612,0.06976563390221846,0.5277700484650949,100,0
ece,0.37520810262720333,0.11865690843715773,0.6396486864854801,100,0
