metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.8183333333333335,0.5,1.0,100,0
balanced_accuracy,0.8148333333333332,0.5,1.0,100,0
macro_f1,0.7716439393939395,0.365,1.0,100,0
weighted_f1,0.8003801106301105,0.3921428571428571,1.0,100,0
auroc,0.7563333333333333,0.19999999999999996,1.0,100,0
success_auprc,0.8518333333333332,0.2895833333333333,1.0,100,0
failure_auprc,0.8152027777777778,0.3333333333333333,1.0,100,0
success_precision,0.88,0.0,1.0,100,0
success_recall,0.6296666666666667,0.0,1.0,100,0
failure_precision,0.7448333333333333,0.3333333333333333,1.0,100,0
failure_recall,1.0,1.0,1.0,100,0
brier,0.22031317105733347,0.05958560330933879,0.44331368022968864,100,0
ece,0.3514466796859106,0.17090924954101555,0.5692383859925787,100,0
