metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.8183333333333335,0.5,1.0,100,0
balanced_accuracy,0.8148333333333332,0.5,1.0,100,0
macro_f1,0.7716439393939395,0.365,1.0,100,0
weighted_f1,0.8003801106301105,0.3921428571428571,1.0,100,0
auroc,0.8740277777777777,0.4,1.0,100,0
success_auprc,0.9158333333333334,0.4475,1.0,100,0
failure_auprc,0.9030000000000001,0.3333333333333333,1.0,100,0
success_precision,0.88,0.0,1.0,100,0
success_recall,0.6296666666666667,0.0,1.0,100,0
failure_precision,0.7448333333333333,0.3333333333333333,1.0,100,0
failure_recall,1.0,1.0,1.0,100,0
brier,0.15227586494977183,0.02683912842534284,0.3524208792089124,100,0
ece,0.2925997039539937,0.14599704857007087,0.49856017867773217,100,0
